iter	Passed	Remaining
0	1	128
1	2	117
2	3	111
3	4	103
4	5	103
5	6	101
6	7	99
7	8	98
8	9	96
9	10	95
10	11	94
11	12	93
12	13	91
13	14	90
14	15	89
15	16	87
16	17	86
17	18	86
18	19	84
19	20	82
20	21	80
21	22	79
22	23	77
23	23	75
24	24	73
25	25	72
26	26	70
27	26	69
28	27	67
29	28	66
30	28	64
31	29	63
32	30	61
33	31	60
34	31	59
35	32	57
36	33	56
37	33	55
38	34	54
39	35	52
40	36	51
41	36	50
42	37	49
43	37	48
44	38	47
45	39	45
46	39	44
47	40	43
48	41	42
49	42	42
50	42	41
51	43	40
52	44	39
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	63	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	79	0
99	79	0
